PROJECT MUSE — PLAYLIST LOCALIZATION REVIEW FINAL (2026-06 · 3-AI 2회 교차검증 · 배포 가능 수렴)
playlists: 6 (5 eras + non-stop) · locales: en(default) + ja/ko/es/pt/de/fr/ru/zh-Hant/zh-Hans
정책: TITLE = 전 로케일 영문 고정 · DESCRIPTION 만 현지화 · 본문 가수 지칭은 현지 표기 · 아카펠라=본문은 자국 문자(zh 阿卡貝拉·ru а капелла), 라틴문자권만 a cappella
======================================================================

### TITLE (전 로케일 영문 고정 — 검토 불필요, 참고용)

   Miku in the Baroque Era         [baroque]
   Miku in the Classical Era       [classical]
   Miku in the Romantic Era        [romantic]
   Miku in the 20th Century        [20th_century]
   Miku in the Renaissance Era     [renaissance]
   Miku Non-Stop A Cappella        [non_stop]


### DESCRIPTION (en/ja/ko = 기존 라이브 정본 · es/pt/de/fr/ru/zh-Hant/zh-Hans = FINAL 번역)

■ baroque  (Miku in the Baroque Era)
   en        Listen to the dynamic music of the Baroque era, pulsing with dramatic contrasts and ornate embellishments, through Miku's acappella.  (정본)
   ja        劇的な対比と華やかな装飾音が絶え間なく脈打つ、バロック時代のダイナミックな音楽をミクのアカペラでご堪能ください。  (정본)
   ko        극적인 대비와 화려한 장식음이 쉴 새 없이 박동하는 바로크 시대의 역동적인 음악을 미쿠의 아카펠라로 감상하세요.  (정본)
   es        Escucha la dinámica música del Barroco, palpitante de contrastes dramáticos y ornamentación elaborada, en la voz a cappella de Miku.  (FINAL)
   pt        Ouça a dinâmica música do Barroco, pulsante de contrastes dramáticos e ornamentações elaboradas, na voz a cappella de Miku.  (FINAL)
   de        Erlebe die dynamische Musik des Barock, pulsierend vor dramatischen Kontrasten und kunstvollen Verzierungen, mit Mikus A-cappella-Stimme.  (FINAL)
   fr        Écoutez la musique dynamique de l'époque baroque, vibrante de contrastes dramatiques et d'ornements raffinés, à travers la voix a cappella de Miku.  (FINAL)
   ru        Слушайте динамичную музыку барокко, пульсирующую драматическими контрастами и изысканной орнаментикой, в исполнении Мику а капелла.  (FINAL)
   zh-Hant   聆聽巴洛克時代躍動不息、充滿戲劇性對比與華麗裝飾音的音樂，由初音未來以阿卡貝拉獻聲。  (FINAL)
   zh-Hans   聆听巴洛克时代跃动不息、充满戏剧性对比与华丽装饰音的音乐，由初音未来以阿卡贝拉献声。  (FINAL)
